Дистанция_км,Высота_м,Уклон_проценты
49.98,69.67,-0.24
50.117,69.33,0.73
50.254,70.33,0.49
50.391,71.0,0.24
50.528,71.33,-0.49
50.665,70.67,-0.73
50.802,69.67,0.0
50.939,69.67,-0.49
51.075,69.0,0.0
51.212,69.0,-0.49
51.349,68.33,0.0
51.486,68.33,0.0
51.623,68.33,0.49
51.76,69.0,0.24
51.897,69.33,0.0
52.034,69.33,-0.24
52.17,69.0,0.24
52.307,69.33,0.24
52.444,69.67,0.24
52.581,70.0,-0.24
52.718,69.67,-0.49
52.855,69.0,-0.73
52.992,68.0,-0.24
53.129,67.67,0.24
53.265,68.0,0.0
53.402,68.0,0.24
53.539,68.33,-0.24
53.676,68.0,0.0
53.813,68.0,-0.24
53.95,67.67,0.0
54.087,67.67,0.73
54.224,68.67,0.24
54.36,69.0,0.49
54.497,69.67,-0.49
54.634,69.0,0.0
54.771,69.0,-0.24
54.908,68.67,0.24
55.045,69.0,0.49
55.182,69.67,0.49
55.319,70.33,0.73
55.455,71.33,0.0
55.592,71.33,0.0
55.729,71.33,0.0
55.866,71.33,0.0
56.003,71.33,0.24
56.14,71.67,-0.24
56.277,71.33,0.24
56.414,71.67,-0.24
56.55,71.33,0.24
56.687,71.67,0.0
56.824,71.67,0.49
56.961,72.33,0.0
57.098,72.33,0.0
57.235,72.33,-0.24
57.372,72.0,0.24
57.508,72.33,0.0
57.645,72.33,0.24
57.782,72.67,0.49
57.919,73.33,0.0
58.056,73.33,-0.49
58.193,72.67,-0.49
58.33,72.0,0.49
58.467,72.67,0.73
58.603,73.67,0.0
58.74,73.67,-0.24
58.877,73.33,0.73
59.014,74.33,0.24
59.151,74.67,0.0
59.288,74.67,-0.24
59.425,74.33,0.49
59.561,75.0,0.73
59.698,76.0,0.0
59.835,76.0,0.0
59.972,76.0,0.24
60.109,76.33,0.49
60.246,77.0,0.49
60.383,77.67,0.49
60.519,78.33,0.0
60.656,78.33,0.49
60.793,79.0,-0.24
60.93,78.67,0.0
61.067,78.67,0.24
61.204,79.0,0.49
61.341,79.67,1.22
61.477,81.33,0.49
61.614,82.0,1.7
61.751,84.33,1.22
61.888,86.0,1.7
62.025,88.33,0.24
62.162,88.67,-0.73
62.299,87.67,-1.46
62.435,85.67,-1.46
62.572,83.67,-0.73
62.709,82.67,-0.24
62.846,82.33,0.24
62.983,82.67,0.24
63.12,83.0,0.73
63.257,84.0,0.97
63.393,85.33,1.46
63.53,87.33,0.49
63.667,88.0,1.22
63.804,89.67,0.24
63.941,90.0,0.49
64.078,90.67,-0.49
64.215,90.0,0.24
64.351,90.33,0.73
64.488,91.33,0.49
